      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 10   07:44:10  28017      0   08:03:08  26305      0
  9   03:00:53  17651      0   09:39:50  24176      0
  8   13:33:58  44798      0   14:16:05  30326      0
  7   01:50:48  16446      0   02:40:00  18361      0
  6   00:26:22   7856      0   04:24:09  18945      0
  5   12:01:27  37736      0   13:30:18  36715      0
  4       >24h  56099      0       >24h  54296      0
  3   01:16:44  16137      0   05:39:28  26554      0
  2   01:03:04  15634      0   01:15:04  15470      0
  1   00:51:28   9725      0   01:02:29   8932      0
